/var/spool/slurmd/job54800/slurm_script: línea 11: /fhome/pmlai01/miniconda3/etc/profile.d/cuonda.sh: No existe el archivo o el directorio

CondaError: Run 'conda init' before 'conda activate'

2024-12-12 10:04:40.719540: I tensorflow/tsl/cuda/cudart_stub.cc:28] Could not find cuda drivers on your machine, GPU will not be used.
2024-12-12 10:04:40.781920: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-12-12 10:04:41.849325: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
cuda
Using cuda device
Wrapping the env in a VecTransposeImage.
---------------------------------
| rollout/           |          |
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.28e+03    |
|    ep_rew_mean          | 2.37e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 323         |
|    time_elapsed         | 13549       |
|    total_timesteps      | 2646016     |
| train/                  |             |
|    approx_kl            | 0.016486064 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.614      |
|    explained_variance   | 0.449       |
|    learning_rate        | 2.36e-05    |
|    loss                 | 0.387       |
|    n_updates            | 3220        |
|    policy_gradient_loss | -0.0113     |
|    value_loss           | 1.69        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.31e+03    |
|    ep_rew_mean          | 2.39e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 324         |
|    time_elapsed         | 13589       |
|    total_timesteps      | 2654208     |
| train/                  |             |
|    approx_kl            | 0.017298833 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.604      |
|    explained_variance   | 0.57        |
|    learning_rate        | 2.35e-05    |
|    loss                 | 0.429       |
|    n_updates            | 3230        |
|    policy_gradient_loss | -0.0132     |
|    value_loss           | 1.36        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.25e+03    |
|    ep_rew_mean          | 2.36e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 325         |
|    time_elapsed         | 13629       |
|    total_timesteps      | 2662400     |
| train/                  |             |
|    approx_kl            | 0.014015324 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.599      |
|    explained_variance   | 0.617       |
|    learning_rate        | 2.35e-05    |
|    loss                 | 0.422       |
|    n_updates            | 3240        |
|    policy_gradient_loss | -0.0147     |
|    value_loss           | 1.26        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.17e+03    |
|    ep_rew_mean          | 2.32e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 326         |
|    time_elapsed         | 13670       |
|    total_timesteps      | 2670592     |
| train/                  |             |
|    approx_kl            | 0.014002064 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.606      |
|    explained_variance   | 0.563       |
|    learning_rate        | 2.34e-05    |
|    loss                 | 0.695       |
|    n_updates            | 3250        |
|    policy_gradient_loss | -0.0125     |
|    value_loss           | 1.48        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.17e+03    |
|    ep_rew_mean          | 2.31e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 327         |
|    time_elapsed         | 13711       |
|    total_timesteps      | 2678784     |
| train/                  |             |
|    approx_kl            | 0.018637639 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.61       |
|    explained_variance   | 0.521       |
|    learning_rate        | 2.33e-05    |
|    loss                 | 0.648       |
|    n_updates            | 3260        |
|    policy_gradient_loss | -0.0132     |
|    value_loss           | 1.51        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.16e+03    |
|    ep_rew_mean          | 2.31e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 328         |
|    time_elapsed         | 13752       |
|    total_timesteps      | 2686976     |
| train/                  |             |
|    approx_kl            | 0.014585419 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.598      |
|    explained_variance   | 0.522       |
|    learning_rate        | 2.32e-05    |
|    loss                 | 0.586       |
|    n_updates            | 3270        |
|    policy_gradient_loss | -0.014      |
|    value_loss           | 1.39        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.18e+03    |
|    ep_rew_mean          | 2.32e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 329         |
|    time_elapsed         | 13792       |
|    total_timesteps      | 2695168     |
| train/                  |             |
|    approx_kl            | 0.015269516 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.547      |
|    explained_variance   | 0.581       |
|    learning_rate        | 2.31e-05    |
|    loss                 | 0.667       |
|    n_updates            | 3280        |
|    policy_gradient_loss | -0.0122     |
|    value_loss           | 1.06        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.16e+03    |
|    ep_rew_mean          | 2.32e+03    |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 330         |
|    time_elapsed         | 13832       |
|    total_timesteps      | 2703360     |
| train/                  |             |
|    approx_kl            | 0.017362943 |
|    clip_fraction        | 0.151       |
